"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Industrie automobile (NAF rév. 2, niveau division, poste 29)";"Codes"
"idBank";"010537774";""
"Dernière mise à jour";"05/04/2023 08:45";""
"Période";"";""
"2023-02";"94.66";"A"
"2023-01";"91.53";"A"
"2022-12";"93.32";"A"
"2022-11";"91.97";"A"
"2022-10";"88.8";"A"
"2022-09";"94.14";"A"
"2022-08";"99.2";"A"
"2022-07";"85.69";"A"
"2022-06";"84.98";"A"
"2022-05";"85.26";"A"
"2022-04";"73.47";"A"
"2022-03";"70.8";"A"
"2022-02";"75.78";"A"
"2022-01";"80.61";"A"
"2021-12";"83.68";"A"
"2021-11";"76.83";"A"
"2021-10";"73.23";"A"
"2021-09";"69.82";"A"
"2021-08";"78.14";"A"
"2021-07";"77.36";"A"
"2021-06";"75.51";"A"
"2021-05";"75.08";"A"
"2021-04";"83.76";"A"
"2021-03";"86.65";"A"
"2021-02";"88.93";"A"
"2021-01";"94.28";"A"
"2020-12";"95.2";"A"
"2020-11";"94.12";"A"
"2020-10";"104.49";"A"
"2020-09";"101.14";"A"
"2020-08";"90.49";"A"
"2020-07";"81.33";"A"
"2020-06";"68.01";"A"
"2020-05";"39.17";"A"
"2020-04";"6.09";"A"
"2020-03";"57.28";"A"
"2020-02";"103.77";"A"
"2020-01";"97.44";"A"
"2019-12";"100.17";"A"
"2019-11";"104.55";"A"
"2019-10";"104.82";"A"
"2019-09";"102.98";"A"
"2019-08";"104.59";"A"
"2019-07";"109.53";"A"
"2019-06";"112.57";"A"
"2019-05";"116.0";"A"
"2019-04";"113.3";"A"
"2019-03";"115.76";"A"
"2019-02";"113.53";"A"
"2019-01";"115.53";"A"
"2018-12";"112.66";"A"
"2018-11";"107.11";"A"
"2018-10";"110.11";"A"
"2018-09";"110.0";"A"
"2018-08";"110.39";"A"
"2018-07";"112.94";"A"
"2018-06";"112.89";"A"
"2018-05";"110.45";"A"
"2018-04";"113.41";"A"
"2018-03";"114.03";"A"
"2018-02";"111.55";"A"
"2018-01";"113.62";"A"
"2017-12";"116.9";"A"
