"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Fabrication de produits azotés et d'engrais (NAF rév. 2, niveau classe, poste 20.15)";"Codes"
"idBank";"010537434";""
"Dernière mise à jour";"05/04/2023 08:45";""
"Période";"";""
"2023-02";"60.05";"A"
"2023-01";"64.51";"A"
"2022-12";"69.82";"A"
"2022-11";"73.02";"A"
"2022-10";"72.7";"A"
"2022-09";"79.34";"A"
"2022-08";"77.31";"A"
"2022-07";"88.98";"A"
"2022-06";"79.44";"A"
"2022-05";"85.54";"A"
"2022-04";"80.02";"A"
"2022-03";"75.89";"A"
"2022-02";"85.92";"A"
"2022-01";"86.0";"A"
"2021-12";"92.3";"A"
"2021-11";"90.55";"A"
"2021-10";"91.77";"A"
"2021-09";"80.97";"A"
"2021-08";"85.21";"A"
"2021-07";"80.71";"A"
"2021-06";"90.45";"A"
"2021-05";"83.88";"A"
"2021-04";"99.25";"A"
"2021-03";"87.17";"A"
"2021-02";"93.28";"A"
"2021-01";"88.35";"A"
"2020-12";"71.85";"A"
"2020-11";"80.64";"A"
"2020-10";"97.56";"A"
"2020-09";"94.82";"A"
"2020-08";"70.04";"A"
"2020-07";"87.89";"A"
"2020-06";"90.55";"A"
"2020-05";"108.61";"A"
"2020-04";"93.55";"A"
"2020-03";"76.81";"A"
"2020-02";"112.81";"A"
"2020-01";"76.74";"A"
"2019-12";"86.13";"A"
"2019-11";"89.75";"A"
"2019-10";"81.23";"A"
"2019-09";"85.36";"A"
"2019-08";"93.06";"A"
"2019-07";"94.36";"A"
"2019-06";"100.22";"A"
"2019-05";"117.43";"A"
"2019-04";"88.41";"A"
"2019-03";"106.46";"A"
"2019-02";"100.19";"A"
"2019-01";"95.83";"A"
"2018-12";"88.91";"A"
"2018-11";"93.28";"A"
"2018-10";"98.21";"A"
"2018-09";"95.02";"A"
"2018-08";"90.92";"A"
"2018-07";"89.05";"A"
"2018-06";"91.96";"A"
"2018-05";"84.59";"A"
"2018-04";"90.43";"A"
"2018-03";"94.64";"A"
"2018-02";"97.27";"A"
"2018-01";"109.4";"A"
"2017-12";"102.66";"A"
"2017-11";"110.44";"A"
